time,energy,energy_error,position,velocity
0.01,0.5,-6.88338e-15,0.99995,-0.00999983
0.02,0.5,-1.38223e-14,0.9998,-0.0199987
0.03,0.5,-2.08167e-14,0.99955,-0.0299955
0.04,0.5,-2.77556e-14,0.9992,-0.0399893
0.05,0.5,-3.46945e-14,0.99875,-0.0499792
0.06,0.5,-4.15779e-14,0.998201,-0.059964
0.07,0.5,-4.85723e-14,0.997551,-0.0699428
0.08,0.5,-5.55667e-14,0.996802,-0.0799147
0.09,0.5,-6.25611e-14,0.995953,-0.0898785
0.1,0.5,-6.95e-14,0.995004,-0.0998334
0.11,0.5,-7.64389e-14,0.993956,-0.109778
0.12,0.5,-8.33777e-14,0.992809,-0.119712
0.13,0.5,-9.02611e-14,0.991562,-0.129634
0.14,0.5,-9.72555e-14,0.990216,-0.139543
0.15,0.5,-1.04194e-13,0.988771,-0.149438
0.16,0.5,-1.11078e-13,0.987227,-0.159318
0.17,0.5,-1.18072e-13,0.985585,-0.169182
0.18,0.5,-1.24956e-13,0.983844,-0.17903
0.19,0.5,-1.31839e-13,0.982004,-0.188859
0.2,0.5,-1.38778e-13,0.980067,-0.198669
0.21,0.5,-1.45772e-13,0.978031,-0.20846
0.22,0.5,-1.52711e-13,0.975897,-0.21823
0.23,0.5,-1.59595e-13,0.973666,-0.227978
0.24,0.5,-1.66533e-13,0.971338,-0.237703
0.25,0.5,-1.73361e-13,0.968912,-0.247404
0.26,0.5,-1.80356e-13,0.96639,-0.257081
0.27,0.5,-1.8735e-13,0.963771,-0.266731
0.28,0.5,-1.94289e-13,0.961055,-0.276356
0.29,0.5,-2.01283e-13,0.958244,-0.285952
0.3,0.5,-2.08167e-13,0.955336,-0.29552
0.31,0.5,-2.15161e-13,0.952334,-0.305059
0.32,0.5,-2.221e-13,0.949235,-0.314567
0.33,0.5,-2.29039e-13,0.946042,-0.324043
0.34,0.5,-2.35922e-13,0.942755,-0.333487
0.35,0.5,-2.42917e-13,0.939373,-0.342898
0.36,0.5,-2.49911e-13,0.935897,-0.352274
0.37,0.5,-2.5685e-13,0.932327,-0.361615
0.38,0.5,-2.63789e-13,0.928665,-0.37092
0.39,0.5,-2.70672e-13,0.924909,-0.380188
0.4,0.5,-2.77611e-13,0.921061,-0.389418
0.41,0.5,-2.8455e-13,0.917121,-0.398609
0.42,0.5,-2.91545e-13,0.913089,-0.40776
0.43,0.5,-2.98428e-13,0.908966,-0.416871
0.44,0.5,-3.05422e-13,0.904752,-0.425939
0.45,0.5,-3.12306e-13,0.900447,-0.434966
0.46,0.5,-3.19245e-13,0.896052,-0.443948
0.47,0.5,-3.26128e-13,0.891568,-0.452886
0.48,0.5,-3.33067e-13,0.886995,-0.461779
0.49,0.5,-3.3995e-13,0.882333,-0.470626
0.5,0.5,-3.46889e-13,0.877583,-0.479426
0.51,0.5,-3.53828e-13,0.872745,-0.488177
0.52,0.5,-3.60767e-13,0.867819,-0.49688
0.53,0.5,-3.67595e-13,0.862807,-0.505533
0.54,0.5,-3.74645e-13,0.857709,-0.514136
0.55,0.5,-3.81584e-13,0.852525,-0.522687
0.56,0.5,-3.88523e-13,0.847255,-0.531186
0.57,0.5,-3.95461e-13,0.841901,-0.539632
0.58,0.5,-4.02456e-13,0.836463,-0.548024
0.59,0.5,-4.09339e-13,0.830941,-0.556361
0.6,0.5,-4.16334e-13,0.825336,-0.564642
0.61,0.5,-4.23217e-13,0.819648,-0.572867
0.62,0.5,-4.301e-13,0.813878,-0.581035
0.63,0.5,-4.36984e-13,0.808028,-0.589145
0.64,0.5,-4.43978e-13,0.802096,-0.597195
0.65,0.5,-4.50862e-13,0.796084,-0.605186
0.66,0.5,-4.57745e-13,0.789992,-0.613117
0.67,0.5,-4.64739e-13,0.783822,-0.620986
0.68,0.5,-4.71623e-13,0.777573,-0.628793
0.69,0.5,-4.78617e-13,0.771246,-0.636537
0.7,0.5,-4.85556e-13,0.764842,-0.644218
0.71,0.5,-4.92495e-13,0.758362,-0.651834
0.72,0.5,-4.99434e-13,0.751806,-0.659385
0.73,0.5,-5.06373e-13,0.745174,-0.66687
0.74,0.5,-5.13256e-13,0.738469,-0.674288
0.75,0.5,-5.20195e-13,0.731689,-0.681639
0.76,0.5,-5.27134e-13,0.724836,-0.688921
0.77,0.5,-5.34128e-13,0.717911,-0.696135
0.78,0.5,-5.41012e-13,0.710914,-0.703279
0.79,0.5,-5.47951e-13,0.703845,-0.710353
0.8,0.5,-5.54945e-13,0.696707,-0.717356
0.81,0.5,-5.61884e-13,0.689498,-0.724287
0.82,0.5,-5.68767e-13,0.682221,-0.731146
0.83,0.5,-5.75817e-13,0.674876,-0.737931
0.84,0.5,-5.82867e-13,0.667463,-0.744643
0.85,0.5,-5.89806e-13,0.659983,-0.75128
0.86,0.5,-5.96745e-13,0.652437,-0.757843
0.87,0.5,-6.03628e-13,0.644827,-0.764329
0.88,0.5,-6.10512e-13,0.637151,-0.770739
0.89,0.5,-6.17506e-13,0.629412,-0.777072
0.9,0.5,-6.24389e-13,0.62161,-0.783327
0.91,0.5,-6.31384e-13,0.613746,-0.789504
0.92,0.5,-6.38378e-13,0.60582,-0.795602
0.93,0.5,-6.45373e-13,0.597834,-0.80162
0.94,0.5,-6.52256e-13,0.589788,-0.807558
0.95,0.5,-6.59139e-13,0.581683,-0.813416
0.96,0.5,-6.66134e-13,0.57352,-0.819192
0.97,0.5,-6.73128e-13,0.5653,-0.824886
0.98,0.5,-6.80123e-13,0.557023,-0.830497
0.99,0.5,-6.87006e-13,0.54869,-0.836026
1,0.5,-6.93945e-13,0.540302,-0.841471
1.01,0.5,-7.00828e-13,0.531861,-0.846832
1.02,0.5,-7.07712e-13,0.523366,-0.852108
1.03,0.5,-7.14651e-13,0.514819,-0.857299
1.04,0.5,-7.21645e-13,0.50622,-0.862404
1.05,0.5,-7.28528e-13,0.497571,-0.867423
1.06,0.5,-7.35467e-13,0.488872,-0.872355
1.07,0.5,-7.42406e-13,0.480124,-0.877201
1.08,0.5,-7.4929e-13,0.471328,-0.881958
1.09,0.5,-7.56284e-13,0.462485,-0.886627
1.1,0.5,-7.63223e-13,0.453596,-0.891207
